ID,Topic,Human,Coherence,Coherence+eps,PMI,NPMI,Cosine,KL,Euclidean,Jaccard,Variability,Post Variability
11,bike amp helmet manual honda turbo brake tire rear voltage,3,-130.1978194,-495.4132879,-114.5905249,0.369168368,0.998512398,0.001556476,0.001157135,0.067703098,2.44E-06,0.1027324
12,pitcher braves player baseball hitter pitch jesus defensive season deserve,2,-84.70517809,-170.6985547,-9.976694343,0.484882433,0.998376804,0.001706984,0.001224424,0.100285,3.49E-06,0.103081066
13,motherboard meg screen windows printer mouse modem port gateway quadra,4,-104.9220544,-110.3736613,1.688523202,0.497946969,0.998771016,0.001234122,0.001039634,0.071653416,3.33E-06,0.107922449
14,holy jesus belief god atheist religious doctrine religion atheism spirit,4,-68.00714094,-69.48332893,27.50672627,0.521083083,0.998906897,0.00111429,0.001009757,0.130373512,2.82E-06,0.101827935
15,enforcement privacy encrypt device serial encryption americans wiretap ripem law,3,-70.13239846,-73.61715357,12.08900886,0.507027582,0.999147451,0.000878114,0.00089362,0.082993724,3.63E-06,0.12150819
16,militia assault crime criminal constitution homicide firearm weapon amendment commit,3,-60.16578448,-63.56286804,37.93746204,0.52888214,0.999035562,0.000997932,0.000963145,0.103327445,3.77E-06,0.111170179
17,satellite spacecraft remote mission module anonymous shuttle sequence launch lunar,3,-74.97761014,-79.51770926,26.18759467,0.515670221,0.999224657,0.000812517,0.000839913,0.083421341,3.57E-06,0.116939042
18,ide windows scsus scsi meg ram motherboard upgrade printer quadra,3,-78.38189046,-80.99633714,34.3190458,0.52563184,0.998866269,0.001105672,0.00100564,0.07994534,3.49E-06,0.115479729
19,turks israel turkish civilian armenian greek lebanon village muslim lebanese,3,-76.20875602,-162.1629696,-9.708662311,0.486741685,0.998843722,0.001184649,0.001042257,0.266854901,3.71E-06,0.110941485
20,god christ faith christian jesus bible resurrection belief revelation existence,4,-65.09187529,-66.04308701,31.71949407,0.524662123,0.998862117,0.001165225,0.001019187,0.163203056,3.70E-06,0.111406606
21,circuit nec voltage install wire cable amp panel bike outlet,2,-105.4950982,-167.5332773,-23.64938995,0.475353976,0.99856239,0.001479829,0.001130405,0.044169502,2.63E-06,0.105594104
22,cpu os menu xterm xlib pixel cache hardware mac font,3,-87.34922805,-120.6488208,7.640556689,0.502172731,0.998904344,0.001119497,0.00100232,0.059936876,3.84E-06,0.114749514
23,tor det calgary pit pt que cal montreal buf mon,1,-43.10242775,-46.83996276,70.54239586,0.550535498,0.998570231,0.001481329,0.001116592,0.164058486,2.31E-06,0.109115175
24,file output militia entry oname char printf buf firearm io,1,-106.0137872,-279.993883,-137.9069333,0.369312808,0.999164759,0.000882463,0.00088899,0.057936636,3.09E-06,0.116350836
25,motherboard ide hd scsus circuit meg scsi shipping ram cable,2,-79.68558882,-85.13982068,5.268697469,0.499283876,0.998671934,0.001316309,0.001085428,0.079769279,3.18E-06,0.108067403
26,db mov int bh byte null echo char oname cs,1,-84.34902738,-536.8908822,-162.5873636,0.328409556,0.999329366,0.000695261,0.000773861,0.067935898,2.94E-06,0.120550166
27,privacy administration encryption enforcement conduct americans wiretap device escrow agency,3,-58.86498998,-60.31252504,51.02581345,0.538502882,0.999042577,0.001007478,0.000946264,0.071133393,3.24E-06,0.11081496
28,god revelation scripture doctrine faith christ bible christian belief jesus,4,-47.87595107,-48.78189112,42.73199891,0.533302738,0.998752949,0.001268256,0.001074431,0.149398499,3.48E-06,0.105771508
29,atheism atheist god passage belief moral conclusion doctrine islam religion,4,-73.82485223,-76.21773765,27.23240783,0.520255652,0.998934297,0.001095266,0.000993169,0.129657824,3.47E-06,0.111621225
30,armenians son armenian daughter rape armenia turks murder massacre soldier,3,-56.03999667,-58.05681228,56.4899005,0.542431262,0.998557169,0.00153154,0.001158079,0.153614495,3.91E-06,0.102839655
31,jews muslims turkish jew muslim turks israel armenian lebanese village,3,-71.59296572,-102.4441171,4.492141531,0.499969903,0.998645511,0.001429136,0.001098481,0.093517919,4.52E-06,0.103717686
32,nhl puck hockey season league penalty playoff flyers cup draft,3,-72.77316666,-75.41387258,51.24738754,0.538076135,0.9986972,0.001352036,0.001088289,0.107830312,2.51E-06,0.11193205
33,widget converter xt export toolkit server directory binary dec resource,2,-77.12100386,-81.95329966,30.6418457,0.521628616,0.999297269,0.000736016,0.000796356,0.119164928,3.15E-06,0.111100327
34,cipher ripem privacy encrypt cryptography des security enforcement rsa serial,2,-57.33932678,-61.97584101,47.46025438,0.534885469,0.999231088,0.00079281,0.000848598,0.117191754,4.12E-06,0.121047282
35,homicide batf criminal abuse knife gun gang crime violent assault,3,-73.17231066,-132.6300933,36.64497611,0.522701336,0.998566985,0.001477372,0.00116828,0.059560121,3.87E-06,0.105523559
36,entry remark output winner char contest oname printf buf int,2,-92.18129381,-101.5810781,-1.147887746,0.499422667,0.999155901,0.000882054,0.000869414,0.11165361,2.38E-06,0.115860633
37,stephanopoulos secretary sector president congress russia administration senate community resolution,2,-61.43586448,-66.98103221,21.05433927,0.516255265,0.998941475,0.001141832,0.000999904,0.083362535,5.21E-06,0.108213798
38,motherboard hd ide connector jumper meg modem mode mb scsus,2,-80.25004698,-83.9501499,37.20560455,0.526854201,0.998828334,0.001169168,0.001023906,0.077532934,4.23E-06,0.110511774
39,det tor buf que pit calgary detroit cal pt min,1,-45.71624431,-49.86490746,68.50762915,0.54883518,0.998706238,0.001330428,0.001071754,0.124871118,3.49E-06,0.112049327
40,interface mb scsi scsus vga cache ide disk controller ram,2,-59.39355048,-61.02497556,43.79412413,0.533132846,0.998882401,0.001094719,0.001003653,0.089317696,2.92E-06,0.114097464
41,probe spacecraft mission conduct shuttle map lunar scientific saturn schedule,4,-76.15398025,-80.9414634,49.41302241,0.535070369,0.999174132,0.000858944,0.000884477,0.081956202,4.03E-06,0.115045638
42,ide motherboard mhz meg gateway quadra isa scsi simm scsus,2,-73.09025113,-76.57694709,36.23551544,0.522761361,0.998847297,0.001188353,0.001023277,0.06850545,4.00E-06,0.109108547
43,apartment woman neighbor armenians rape father soldier february daughter troops,1,-60.81720731,-63.15364106,54.45309962,0.539287889,0.998737665,0.001347994,0.001086455,0.137327828,3.56E-06,0.11501144
44,stephanopoulos myers president package congress decision secretary senate february gay,1,-85.50203139,-123.1676089,-2.71502897,0.49595964,0.999049689,0.001023287,0.000950748,0.078266749,4.19E-06,0.109047364
45,mb interface controller disk floppy bio scsi ram scsus rom,3,-77.36118976,-79.67670745,40.36676986,0.530040068,0.999063304,0.000931807,0.000920149,0.086128175,4.08E-06,0.108112873
46,village turkish armenian armenians armenia genocide minority greek muslim turkey,3,-41.2425266,-42.48355939,50.03920419,0.538589348,0.99889961,0.00113707,0.00101664,0.238790665,4.10E-06,0.11439068
47,satellite module launch probe sequence spacecraft capability remote culture conduct,3,-92.63304823,-154.6494661,7.477645645,0.498197743,0.999248735,0.000788034,0.000837442,0.128043778,3.11E-06,0.11900674
48,det tor winnipeg detroit mw pp rg cal eus pit,1,-86.41018804,-504.9745967,-113.0394119,0.338587346,0.998697633,0.00132663,0.001085185,0.110491894,2.86E-06,0.107481373
49,coach team hitter season braves score player pitch playoff pitcher,4,-57.76332851,-60.42115556,50.97387161,0.538412078,0.998379224,0.001681643,0.001228653,0.115080989,3.01E-06,0.107213224
50,israel israeli arab militia arabs palestinian lebanese islamic jew lebanon,4,-54.7687349,-57.3400736,57.06942838,0.543195096,0.998797644,0.001236682,0.001061456,0.134952305,4.79E-06,0.103580276
