ID,Topic,Human,Coherence,Coherence+eps,PMI,NPMI,Cosine,KL,Euclidean,Jaccard,Variability,Post Variability
14,bloc referendum britainas european brexit britain parliament vote cameron immigration,2,-36.94986484,-37.50581812,55.49935553,0.539381924,0.999347726,0.00066283,0.000475991,0.186768269,3.14E-06,0.073720213
15,republicans republican democrats partyas trump senate nominee democratic senator primaries,2,-31.64698777,-31.89400628,34.18469959,0.525320872,0.999345147,0.000659947,0.000470841,0.276873806,4.43E-06,0.068978519
16,funny iad excerpts beautiful artist designer sheas literary loved guitar,1,-85.06680184,-87.60585571,40.55675578,0.520881972,0.999099518,0.000929425,0.000543004,0.102766631,1.92E-06,0.064228874
17,cents brent stocks index barrel prices crude quarter benchmark earnings,3,-40.13284321,-41.15704073,96.18580403,0.565997162,0.998951477,0.001040991,0.000593716,0.191066963,4.65E-06,0.063033632
18,russiaas doping civilians islamic militants athletes mediterranean russian humanitarian laboratory,1,-98.40550306,-271.0422236,-49.66303175,0.432992694,0.998853139,0.001164496,0.000626983,0.11924604,2.90E-06,0.069266492
19,nytimes warrant dissatisfied journalistic errors com editing paperas welcomes correction,2,-26.01174312,-26.65019915,152.6902425,0.607572434,0.998904789,0.00109436,0.000619908,0.212114862,3.10E-06,0.070644252
20,bedrooms dining kitchen floors outdoor brick bedroom upstairs greenwich chef,3,-67.210851,-69.54666247,74.14668123,0.549700438,0.999087487,0.000914639,0.000554686,0.145089252,2.36E-06,0.069651104
21,musical broadway album starring premiere netflix songs stars jazz movies,3,-74.29336567,-76.73891261,37.84004116,0.525537708,0.999084253,0.00092825,0.00055654,0.135219838,3.06E-06,0.062052597
22,locker transgender districts senate bathrooms constitutional lawmakers courtas schools legislature,2,-82.58146574,-86.4022133,26.2838743,0.517502591,0.999168932,0.000844184,0.000536882,0.095680453,2.83E-06,0.068914672
23,gunman wounded gay police shooting nightclub massacre officers ali mother,2,-69.03283279,-71.2780864,12.94103534,0.509722164,0.999184711,0.000832311,0.000534322,0.124838773,3.50E-06,0.062260641
24,officiated graduated groomas bride groom brideas laude cum ii iii,1,-63.31395238,-68.0414921,75.45675027,0.555283918,0.998820627,0.0011648,0.00063384,0.307746734,2.91E-06,0.069447915
25,artist recipe recipes cooking artists art galleries chicken paintings exhibition,1,-92.59483119,-152.4901092,5.797975883,0.501654408,0.999005843,0.001008363,0.000565244,0.129680983,4.25E-06,0.063952783
26,runners clinical tournaments coaches patients tennis slam dna medicine experimental,1,-117.9783836,-401.9412627,-73.51594833,0.396576925,0.999037727,0.001003812,0.000583067,0.100234735,2.33E-06,0.068916916
27,musical album jazz lyrics songs premiere broadway composer music song,4,-49.63280464,-50.80113415,59.48625467,0.540779489,0.999084937,0.000924847,0.000558311,0.109210717,3.64E-06,0.065504136
28,prosecution prosecutors judicial securities federal justice litigation governoras shareholder shareholders,3,-98.33375446,-185.8531628,-24.51969593,0.456979802,0.99898448,0.001018062,0.000590619,0.096122615,3.65E-06,0.063075849
29,innings girardi inning homer hitter yankees yankeesa pitcher scoring outs,2,-36.6614283,-37.46073237,93.02958731,0.565056753,0.99914726,0.000838421,0.000530687,0.271912408,3.18E-06,0.075655567
30,militants militant islamic civilians fighters gen syria israeli detained ministry,2,-67.04120411,-69.34126979,59.46796788,0.539750306,0.998904693,0.001111266,0.000605676,0.135908029,5.22E-06,0.069202552
31,rebounds assists playoff playoffs postseason warriors scored game curry finals,3,-28.93312816,-29.5235674,63.38022889,0.545024358,0.999065738,0.00091498,0.000561905,0.238698231,4.37E-06,0.070888118
32,microsoft software apple smartphone app brands streaming apps contemporary google,3,-80.51944644,-111.5733342,14.07970422,0.505487014,0.998320668,0.00169893,0.00077623,0.18695244,2.74E-06,0.059604718
33,rebounds warriors curry assists cavaliers finals thunder game playoff points,1,-23.16643352,-23.76943679,52.25814425,0.536648506,0.999229244,0.000768341,0.00051433,0.246842126,3.91E-06,0.076579748
34,delegates mrs clinton sanders clintonas nominee nomination primaries republican democratic,2,-27.65313738,-27.9876621,33.97643386,0.524754727,0.999493705,0.000515901,0.000416166,0.262752599,4.52E-06,0.075269469
35,defenseman semifinal cup playoff scored champions playoffs tournament semifinals slam,4,-71.811123,-102.1473855,50.58429642,0.529302014,0.99919672,0.000796902,0.00052849,0.159686406,3.91E-06,0.067289969
36,slam semifinals semifinal tournament champions qualifying singles madrid matches cup,3,-52.6790073,-54.34295386,83.0435163,0.555338396,0.998986404,0.001014939,0.00059628,0.147434997,3.38E-06,0.06576962
37,officiated graduated bride groom groomas brideas ii laude cum masteras,2,-52.80347656,-55.67444728,97.53601226,0.570613034,0.998825735,0.001161685,0.000632269,0.293670067,3.75E-06,0.065028536
38,officiated graduated laude cum brideas groom bride groomas masteras priest,2,-33.40340564,-34.26191059,138.7129183,0.596382362,0.998913631,0.001081236,0.000609931,0.283219946,3.22E-06,0.067450498
39,apps app ingredients recipes google cooking recipe consumers microsoft smartphone,1,-90.10502142,-231.8079036,-36.94362025,0.447075134,0.998801665,0.001228178,0.000652969,0.122301784,2.91E-06,0.064315092
40,inning innings homer scoring sox girardi outs hitter game plate,2,-30.66335955,-31.29807292,81.00301642,0.556654561,0.999218096,0.000775759,0.000510755,0.254417869,3.77E-06,0.069192295
41,doping athletes russiaas emissions regulators penalties laboratory olympics russian vehicles,1,-87.86500148,-231.9285689,-49.34775654,0.442343121,0.998916828,0.001104615,0.000607192,0.094685464,3.60E-06,0.066026107
42,songs wedding musical dancing album singing sang actress motheras novel,3,-93.2414837,-97.04089523,39.03964765,0.525915652,0.999100331,0.000925005,0.00054537,0.088908169,3.68E-06,0.065696441
43,inning innings yankees yankeesa starter mets batting girardi metsa hitter,2,-34.04874554,-34.90031467,80.50276549,0.556565992,0.999137272,0.000855292,0.000543152,0.256109436,3.24E-06,0.07059051
44,bedrooms floors bedroom dining kitchen residential suite outdoor brick wood,4,-54.37388358,-55.58383776,85.75316977,0.558151615,0.999072593,0.00093608,0.000559199,0.139159005,2.39E-06,0.065395204
45,sanctions bloc emissions chinaas european europeas nuclear governments bankas banks,1,-87.17949341,-119.5379913,-11.87712126,0.482747844,0.998825633,0.001207517,0.00062261,0.099511933,3.82E-06,0.056515201
46,islamic qaeda syria saudi militants militant civilians islam arabia coalition,3,-59.449711,-60.9498274,62.70833779,0.542229317,0.999100002,0.000912151,0.000551297,0.153394705,3.50E-06,0.06007826
47,bedrooms buyers dining bedroom brick square kitchen contemporary floors residential,4,-58.86317967,-60.16592436,67.8476828,0.546469986,0.999041967,0.000969997,0.000562937,0.165860048,3.29E-06,0.068969753
48,prosecutors defendants defendant prosecutor attorney sentencing sentenced courtroom convicted prosecution,4,-55.84195642,-57.16387123,94.08447853,0.563865472,0.998988747,0.001006067,0.000586702,0.149886684,3.55E-06,0.066867195
49,hospitals schools students districts transgender income colleges teachers teacher administration,3,-76.87530035,-106.99425,-5.882592612,0.49211403,0.999384341,0.000636529,0.000462334,0.119321858,2.95E-06,0.072250475
50,housing increases income affordable loans insurance apartments rent neighborhoods tax,3,-82.81653881,-85.15782948,20.45721661,0.514198891,0.999152573,0.000880603,0.00053649,0.106903959,2.49E-06,0.060623266
