ID,Topic,Human,Coherence,Coherence+eps,PMI,NPMI,Cosine,KL,Euclidean,Jaccard,Variability,Post Variability
35,china united american chinese chinaas security hong planes south communist,2,-69.96794642,-70.98991996,-9.53435192,0.487728206,0.985811757,0.012921625,0.002331011,0.185542435,8.75E-06,0.085298662
36,republican presidential election clinton mrs campaign trump democratic speeches senator,2,-38.51146402,-38.76772612,9.345087179,0.506640854,0.993820813,0.005829144,0.001540266,0.37345206,3.09E-05,0.068829633
37,mr republican trump campaign donor republicans donald presidential raising senate,2,-49.76546836,-50.09949805,-5.243069874,0.494752432,0.991715559,0.007782553,0.001765221,0.278229152,1.88E-05,0.075411164
38,insurance percent workers tax costs employers benefits increases costly income,3,-66.87046642,-67.73923908,27.08416237,0.51802643,0.982828964,0.016126252,0.002598119,0.131873666,1.48E-05,0.077199399
39,times news review new insights editor briefing letters delivery posted,2,-83.20331179,-84.4292407,9.619916307,0.506296464,0.98596583,0.012108949,0.002279762,0.175467392,1.11E-05,0.077869806
40,law transgender state democrat rights discrimination senate legislation lawmakers federal,2,-71.42756284,-72.25212569,7.50246933,0.505171299,0.983984072,0.014571587,0.00253486,0.12968228,1.45E-05,0.08121121
41,ai like hadnat know breath aiall iam didnat knew love,1,-51.22433395,-51.95327786,18.01912132,0.511503553,0.987656828,0.011814149,0.002233496,0.255095105,1.40E-05,0.076033988
42,book athe writer fiction read literary story novel write writers,3,-58.73396556,-59.31210863,48.8767263,0.53373215,0.983527548,0.016857108,0.002508399,0.128943733,1.54E-05,0.081118367
43,ali people boxing lesbian pride flags parade funeral family tragedy,2,-76.25430769,-107.5484131,5.442829011,0.491375276,0.987243297,0.012268196,0.002197638,0.125394919,1.42E-05,0.078865199
44,officers officer police sentenced misconduct death convicted charges prosecutor charged,4,-59.80671267,-60.41469641,38.71525158,0.527080704,0.98625692,0.012568189,0.00227422,0.165965549,1.09E-05,0.068125952
45,police officers shooting massacre guns killing authorities gun shootings orlando,3,-62.12699837,-62.84297491,34.65431594,0.524174921,0.985911221,0.013003524,0.002309006,0.157404232,1.09E-05,0.077803226
46,city building feet built foot historic residential house floor street,4,-58.142812,-58.45709474,17.3598673,0.512177709,0.984640257,0.014177794,0.002421071,0.139276607,1.35E-05,0.070366519
47,new graduated york bride officiated received daughter groomas groom married,3,-56.35791798,-56.65301225,62.02971426,0.545239636,0.982150384,0.015537739,0.002551227,0.234208446,1.53E-05,0.079958921
48,game warriors series points rebounds assists minutes curry lebron season,2,-52.17274729,-52.65864086,31.65546138,0.521963864,0.989049344,0.010070674,0.002114662,0.229260236,1.97E-05,0.074777154
49,players champion french world tennis ranked tournament sport football professional,2,-70.636202,-71.42475129,24.25794002,0.516992901,0.985426606,0.01392297,0.00235546,0.143288685,1.48E-05,0.070768499
50,court federal law courtas regulations legal requirement oversight justice restrictions,3,-70.24085825,-71.0885094,26.33946595,0.517510287,0.986142657,0.013045718,0.002299354,0.159134104,2.08E-05,0.074834505
